pkts_toserver,pkts_toclient,sig_len,proto,severity,label
1,0,59,2,1,1
1,0,15,1,3,0
7,6,23,1,2,1
9,9,30,1,1,1
9,9,26,1,3,0
11,10,23,1,2,1
16,15,23,1,2,1
21,21,23,1,2,1
26,25,23,1,2,1
31,28,23,1,2,1
36,30,23,1,2,1
41,33,23,1,2,1
46,35,23,1,2,1
51,38,23,1,2,1
56,40,23,1,2,1
61,45,23,1,2,1
66,51,23,1,2,1
71,56,23,1,2,1
76,61,23,1,2,1
81,66,23,1,2,1
89,72,23,1,2,1
6,15,42,1,3,0
10,8,37,1,3,0
4,2,37,1,3,0
8,6,45,1,3,0
4,3,37,1,3,0
51,75,45,1,3,0
1,0,59,2,1,1
4,6,43,1,3,0
4,3,43,1,3,0
13,12,28,1,3,0
1,0,59,2,1,1
3,0,59,2,1,1
1,1,19,3,3,0
1,0,22,1,3,0
1,0,22,1,3,0
7,0,59,2,1,1
1,0,32,1,3,0
1,1,32,1,3,0
1,0,22,1,3,0
1,1,19,3,3,0
2,1,19,3,3,0
1,0,24,2,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,32,1,3,0
1,1,32,1,3,0
1,0,24,2,3,0
1,1,19,3,3,0
11,0,59,2,1,1
3,0,59,2,1,1
4,3,29,1,3,0
4,3,22,1,3,0
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
3,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
3,0,59,2,1,1
4,3,29,1,3,0
4,3,22,1,3,0
11,18,29,1,3,0
11,18,22,1,3,0
2,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
2,0,59,2,1,1
4,0,59,2,1,1
2,1,19,3,3,0
2,0,59,2,1,1
2,1,19,3,3,0
1,0,24,2,3,0
1,1,19,3,3,0
1,0,59,2,1,1
4,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
23,20,37,1,3,0
29,28,37,1,3,0
43,41,37,1,3,0
20,19,37,1,3,0
4,3,37,1,3,0
4,3,37,1,3,0
6,5,37,1,3,0
5,0,22,1,3,0
7,16,42,1,3,0
15,14,45,1,3,0
16,14,45,1,3,0
21,9,45,1,3,0
1,0,59,2,1,1
1,0,59,2,1,1
4,2,37,1,3,0
15,31,37,1,3,0
1,0,22,1,3,0
28,33,42,1,3,0
3,0,22,1,3,0
15,14,45,1,3,0
4,3,43,1,3,0
4,3,34,1,3,0
1,0,41,3,3,0
1,0,48,3,3,0
2,1,41,3,3,0
2,1,48,3,3,0
3,2,41,3,3,0
3,2,48,3,3,0
4,3,41,3,3,0
4,3,48,3,3,0
4,3,43,1,3,0
4,3,34,1,3,0
1,0,41,3,3,0
1,0,48,3,3,0
2,1,41,3,3,0
2,1,48,3,3,0
3,2,41,3,3,0
3,2,48,3,3,0
4,3,41,3,3,0
4,3,48,3,3,0
4,3,43,1,3,0
4,3,34,1,3,0
7,16,42,1,3,0
11,24,42,1,3,0
3,0,22,1,3,0
14,36,42,1,3,0
1,0,59,2,1,1
18,8,45,1,3,0
29,12,37,1,3,0
9,8,37,1,3,0
22,33,42,1,3,0
27,25,37,1,3,0
23,17,37,1,3,0
1,0,41,3,3,0
1,0,48,3,3,0
1,0,36,3,3,0
1,0,41,3,3,0
1,0,48,3,3,0
1,0,36,3,3,0
11,9,45,1,3,0
11,9,45,1,3,0
4,2,37,1,3,0
2,0,22,1,3,0
34,37,42,1,3,0
20,20,37,1,3,0
44,53,42,1,3,0
4,0,22,1,3,0
5,0,22,1,3,0
1,0,59,2,1,1
2,0,22,1,3,0
8,0,22,1,3,0
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
2,0,59,2,1,1
1,0,59,2,1,1
4,3,45,1,3,0
4,3,43,1,3,0
4,3,21,1,3,0
4,3,28,1,3,0
1,0,59,2,1,1
4,3,43,1,3,0
4,3,35,1,3,0
4,3,42,1,3,0
4,3,43,1,3,0
4,3,27,1,3,0
4,3,44,1,3,0
4,3,43,1,3,0
4,3,25,1,3,0
4,3,29,1,3,0
1,0,35,1,3,0
1,0,34,1,3,0
1,0,15,1,3,0
1,0,35,1,3,0
1,0,37,1,3,0
1,0,22,1,3,0
1,0,37,1,3,0
1,0,35,1,3,0
1,0,35,1,3,0
1,0,22,1,3,0
1,0,37,1,3,0
1,0,37,1,3,0
1,0,37,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,34,1,3,0
1,0,34,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
2,0,59,2,1,1
3,0,59,2,1,1
1,0,41,1,3,0
1,0,15,1,3,0
4,4,52,1,3,0
5,5,49,1,3,0
4,4,51,1,3,0
4,4,52,1,3,0
5,4,51,1,3,0
5,4,52,1,3,0
4,4,32,1,3,0
4,4,52,1,3,0
5,5,32,1,3,0
5,4,32,1,3,0
5,4,52,1,3,0
6,5,32,1,3,0
5,4,42,1,3,0
5,4,31,1,3,0
5,5,49,1,3,0
5,3,41,1,3,0
5,3,52,1,3,0
4,3,42,1,3,0
4,3,31,1,3,0
4,4,52,1,3,0
5,5,45,1,3,0
1,0,59,2,1,1
1,0,15,1,3,0
1,0,35,1,3,0
1,0,37,1,3,0
1,0,34,1,3,0
1,0,22,1,3,0
1,0,34,1,3,0
1,0,37,1,3,0
1,0,35,1,3,0
1,0,22,1,3,0
1,0,35,1,3,0
1,0,35,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,37,1,3,0
1,0,37,1,3,0
1,0,34,1,3,0
1,0,34,1,3,0
1,0,34,1,3,0
1,0,34,1,3,0
1,0,34,1,3,0
1,0,34,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,34,1,3,0
1,0,34,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,32,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,22,1,3,0
1,0,41,1,3,0
1,0,59,2,1,1
1,0,15,1,3,0
4,4,52,1,3,0
5,5,49,1,3,0
4,4,51,1,3,0
4,4,52,1,3,0
5,4,51,1,3,0
5,4,52,1,3,0
4,4,32,1,3,0
4,4,52,1,3,0
5,5,32,1,3,0
5,4,32,1,3,0
5,4,52,1,3,0
6,5,32,1,3,0
5,4,42,1,3,0
5,4,31,1,3,0
6,5,49,1,3,0
5,4,41,1,3,0
5,4,52,1,3,0
4,3,42,1,3,0
4,3,31,1,3,0
4,4,52,1,3,0
5,5,45,1,3,0
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
4,3,44,1,3,0
4,3,43,1,3,0
4,3,25,1,3,0
4,3,29,1,3,0
1,0,15,1,3,0
7,5,23,1,2,1
8,8,30,1,1,1
8,8,26,1,3,0
11,11,23,1,2,1
1,0,15,1,3,0
1,0,15,1,3,0
1,0,15,1,3,0
1,0,15,1,3,0
1,0,15,1,3,0
1,0,15,1,3,0
1,0,15,1,3,0
1,0,15,1,3,0
3,1,23,1,2,1
1,0,15,1,3,0
1,0,15,1,3,0
1,0,15,1,3,0
1,0,15,1,3,0
1,0,15,1,3,0
3,1,23,1,2,1
1,0,15,1,3,0
1,0,15,1,3,0
3,1,23,1,2,1
1,0,15,1,3,0
3,4,52,1,3,0
3,4,27,1,3,0
4,4,30,1,1,1
4,4,26,1,3,0
4,4,27,1,3,0
4,3,23,1,2,1
4,3,23,1,2,1
7,6,23,1,2,1
5,3,23,1,2,1
7,6,23,1,2,1
4,3,23,1,2,1
5,3,23,1,2,1
5,3,23,1,2,1
7,7,30,1,1,1
7,7,26,1,3,0
8,7,23,1,2,1
7,7,30,1,1,1
7,7,23,1,2,1
7,7,26,1,3,0
7,7,30,1,1,1
7,7,26,1,3,0
9,9,23,1,2,1
7,7,30,1,1,1
7,7,26,1,3,0
9,9,23,1,2,1
7,8,30,1,1,1
7,8,26,1,3,0
10,10,23,1,2,1
7,8,30,1,1,1
7,8,23,1,2,1
7,8,26,1,3,0
7,8,30,1,1,1
7,8,26,1,3,0
8,8,23,1,2,1
7,8,30,1,1,1
7,8,23,1,2,1
7,8,26,1,3,0
7,7,23,1,2,1
7,8,30,1,1,1
7,8,26,1,3,0
7,8,30,1,1,1
7,8,23,1,2,1
7,8,26,1,3,0
9,10,23,1,2,1
10,11,23,1,2,1
7,8,30,1,1,1
7,8,26,1,3,0
7,7,23,1,2,1
7,8,30,1,1,1
7,8,30,1,1,1
7,8,26,1,3,0
7,8,26,1,3,0
8,8,23,1,2,1
10,11,23,1,2,1
7,7,30,1,1,1
7,7,26,1,3,0
10,10,23,1,2,1
7,7,30,1,1,1
7,7,26,1,3,0
11,13,23,1,2,1
11,13,23,1,2,1
11,11,23,1,2,1
11,12,23,1,2,1
11,11,23,1,2,1
12,13,23,1,2,1
13,16,23,1,2,1
13,16,23,1,2,1
4,3,78,1,3,0
6,6,78,1,3,0
8,61,28,1,3,0
9,64,28,1,3,0
10,66,28,1,3,0
25,93,37,1,3,0
25,93,28,1,3,0
4,4,78,1,3,0
20,37,28,1,3,0
31,63,28,1,3,0
60,92,37,1,3,0
4,3,39,1,1,1
4,3,43,1,3,0
4,3,40,1,3,0
1,0,59,2,1,1
4,3,43,1,3,0
4,3,47,1,3,0
4,3,30,1,3,0
1,0,59,2,1,1
1,0,59,2,1,1
1,0,41,3,3,0
1,0,48,3,3,0
2,1,41,3,3,0
2,1,48,3,3,0
3,2,41,3,3,0
3,2,48,3,3,0
1,0,41,3,3,0
1,0,48,3,3,0
1,0,36,3,3,0
2,0,41,3,3,0
2,0,48,3,3,0
3,0,41,3,3,0
3,0,48,3,3,0
4,0,41,3,3,0
4,0,48,3,3,0
1,0,59,2,1,1
3,0,59,2,1,1
3,0,59,2,1,1
2,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
4,0,59,2,1,1
1,0,59,2,1,1
28,136,39,1,3,0
28,136,48,1,1,1
28,136,20,1,3,0
1,0,59,2,1,1
1,0,59,2,1,1
2,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
3,0,59,2,1,1
6,0,59,2,1,1
2,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
2,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
3,0,59,2,1,1
7,0,59,2,1,1
8,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
2,0,59,2,1,1
3,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
3,0,59,2,1,1
5,0,59,2,1,1
4,8,78,1,3,0
24,39,28,1,3,0
30,51,28,1,3,0
35,61,28,1,3,0
4,3,78,1,3,0
41,72,28,1,3,0
6,15,78,1,3,0
9,26,28,1,3,0
12,32,28,1,3,0
15,38,28,1,3,0
25,52,28,1,3,0
52,92,37,1,3,0
34,61,28,1,3,0
35,62,28,1,3,0
57,88,28,1,3,0
60,93,37,1,3,0
60,93,28,1,3,0
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,91,2,3,0
1,0,91,2,3,0
1,0,91,2,3,0
1,0,91,2,3,0
4,5,82,1,3,0
3,0,59,2,1,1
6,0,59,2,1,1
2,3,39,1,3,0
2,4,39,1,3,0
2,5,39,1,3,0
2,6,39,1,3,0
2,7,39,1,3,0
2,8,39,1,3,0
1,0,59,2,1,1
2,9,39,1,3,0
2,10,39,1,3,0
2,11,39,1,3,0
2,12,39,1,3,0
2,13,39,1,3,0
1,0,59,2,1,1
2,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
1,0,59,2,1,1
